Mois;CSP;Salaire;NbEnfant;SoldeCCP
aout;Agriculteur;21793;1;-165
aout;Agriculteur;20542;2;-1
aout;Agriculteur;21780;2;-104
aout;Agriculteur;21374;0;-128
aout;Agriculteur;22936;4;-10
aout;Agriculteur;21210;1;-187
aout;Agriculteur;22418;1;-16
aout;Agriculteur;20988;3;-14
aout;Agriculteur;21210;0;-126
aout;Agriculteur;22558;1;-8
aout;Agriculteur;21887;2;-163
aout;Agriculteur;22854;4;-177
aout;Agriculteur;22431;3;-102
aout;Agriculteur;19808;2;-168
aout;Agriculteur;18838;3;-122
aout;Agriculteur;22044;0;-48
aout;Agriculteur;19718;3;-140
aout;Agriculteur;22093;1;-69
aout;Agriculteur;19502;1;-145
aout;Agriculteur;23126;0;-41
aout;Agriculteur;20878;4;-26
aout;Agriculteur;18786;2;6
aout;Agriculteur;23890;2;0
fevrier;Agriculteur;19031;3;19
mars;Agriculteur;19241;3;154
avril;Agriculteur;21036;0;163
mai;Agriculteur;18086;0;111
juin;Agriculteur;19266;2;137
juillet;Agriculteur;18607;4;-37
aout;Agriculteur;20357;4;-82
septembre;Agriculteur;22519;0;266
octobre;Agriculteur;18934;1;93
novembre;Agriculteur;21755;3;125
decembre;Agriculteur;18396;2;157
janvier;Agriculteur;18111;0;25
fevrier;Agriculteur;18162;0;-63
mars;Agriculteur;18773;2;140
avril;Agriculteur;19864;1;-89
mai;Agriculteur;23436;0;288
juin;Agriculteur;22428;1;155
juillet;Agriculteur;21354;0;27
aout;Agriculteur;22226;0;211
septembre;Agriculteur;22548;0;-43
octobre;Agriculteur;20502;3;-15
novembre;Agriculteur;22352;0;20
decembre;Agriculteur;22424;3;56
janvier;Agriculteur;20492;0;-87
fevrier;Agriculteur;21949;2;-60
mars;Agriculteur;18087;3;74
avril;Agriculteur;21340;1;-30
mai;Agriculteur;23069;0;24
juin;Agriculteur;18378;2;77
juillet;Agriculteur;21195;1;262
aout;Agriculteur;18713;0;159
septembre;Agriculteur;20618;1;125
octobre;Agriculteur;20821;4;173
novembre;Agriculteur;18072;0;293
decembre;Agriculteur;21205;4;141
janvier;Agriculteur;19538;1;122
fevrier;Agriculteur;21639;0;-88
mars;Agriculteur;21980;3;28
avril;Agriculteur;22084;1;97
mai;Agriculteur;23578;3;-11
juin;Agriculteur;20884;1;-69
juillet;Agriculteur;19126;3;-79
aout;Agriculteur;22483;2;-34
septembre;Agriculteur;21104;0;10
octobre;Agriculteur;22822;3;-46
novembre;Agriculteur;23783;0;128
decembre;Agriculteur;21482;1;-84
janvier;Agriculteur;22762;4;62
fevrier;Agriculteur;22956;4;116
mars;Agriculteur;18550;3;9
avril;Agriculteur;18106;0;44
mai;Agriculteur;19614;1;151
juin;Agriculteur;23225;2;-75
juillet;Agriculteur;18494;4;185
aout;Agriculteur;18594;0;-98
septembre;Agriculteur;20211;1;191
octobre;Agriculteur;20821;1;169
novembre;Agriculteur;23960;0;183
decembre;Agriculteur;23316;3;129
janvier;Agriculteur;22870;2;-64
fevrier;Agriculteur;20935;3;21
mars;Agriculteur;21862;3;-82
avril;Agriculteur;23938;0;246
mai;Agriculteur;21832;4;13
juin;Agriculteur;21059;1;275
juillet;Agriculteur;21713;2;37
aout;Agriculteur;21095;3;-39
septembre;Agriculteur;22040;4;-90
octobre;Agriculteur;21775;0;31
novembre;Agriculteur;22474;1;-74
decembre;Agriculteur;22161;4;216
janvier;Agriculteur;21546;2;-71
fevrier;Agriculteur;23268;4;-59
mars;Agriculteur;18562;0;299
avril;Agriculteur;18320;4;264
mai;Agriculteur;23688;4;38
juin;Agriculteur;20806;1;200
juillet;Agriculteur;21177;0;106
aout;Agriculteur;18956;1;152
septembre;Agriculteur;18546;0;123
octobre;Agriculteur;20076;4;-76
novembre;Agriculteur;19498;3;22
decembre;Agriculteur;20404;0;75
janvier;Agriculteur;24000;0;123
fevrier;Agriculteur;22763;0;73
mars;Agriculteur;18410;4;172
avril;Agriculteur;21106;0;1
mai;Agriculteur;21062;1;-18
juin;Agriculteur;18205;2;117
juillet;Agriculteur;20252;2;-2
aout;Agriculteur;18466;3;177
septembre;Agriculteur;19963;1;-80
octobre;Agriculteur;23153;0;177
novembre;Agriculteur;22772;3;48
decembre;Agriculteur;18460;4;188
janvier;Agriculteur;23614;1;78
fevrier;Agriculteur;18947;0;175
mars;Agriculteur;23728;3;244
avril;Agriculteur;20001;2;17
mai;Agriculteur;23325;1;293
juin;Agriculteur;18399;1;267
juillet;Agriculteur;18291;0;295
aout;Agriculteur;22438;1;282
septembre;Agriculteur;20786;4;3
octobre;Agriculteur;21989;1;34
novembre;Agriculteur;18670;3;114
decembre;Agriculteur;18932;0;-6
janvier;Agriculteur;23294;2;69
fevrier;Agriculteur;23762;1;-93
mars;Agriculteur;23425;0;171
avril;Agriculteur;22465;4;159
mai;Agriculteur;23489;4;-35
juin;Agriculteur;23670;2;200
juillet;Agriculteur;20478;1;138
aout;Agriculteur;22834;1;12
septembre;Agriculteur;19571;2;-15
octobre;Agriculteur;21172;4;14
novembre;Agriculteur;22336;0;241
decembre;Agriculteur;19633;4;-100
janvier;Agriculteur;21985;1;117
fevrier;Agriculteur;19790;3;142
mars;Agriculteur;18768;2;226
avril;Agriculteur;23298;4;-11
mai;Agriculteur;22290;2;187
juin;Agriculteur;21325;0;-22
juillet;Agriculteur;19285;4;45
aout;Agriculteur;22604;0;137
septembre;Agriculteur;23757;2;170
octobre;Agriculteur;21462;1;46
novembre;Agriculteur;18580;1;179
decembre;Agriculteur;21810;1;255
janvier;Agriculteur;21748;1;-68
fevrier;Agriculteur;23130;3;75
mars;Agriculteur;20385;2;-81
avril;Agriculteur;18679;3;88
mai;Agriculteur;23870;1;3
juin;Agriculteur;18103;0;166
juillet;Agriculteur;21025;4;173
aout;Agriculteur;21842;1;79
septembre;Agriculteur;20292;0;-72
octobre;Agriculteur;21488;1;6
novembre;Agriculteur;20276;2;153
decembre;Agriculteur;19997;2;66
janvier;Agriculteur;18800;0;74
fevrier;Agriculteur;20589;1;90
mars;Agriculteur;22848;0;250
avril;Agriculteur;21967;0;170
mai;Agriculteur;22207;3;112
juin;Agriculteur;23471;3;-72
juillet;Agriculteur;23229;3;50
aout;Agriculteur;20018;4;62
septembre;Agriculteur;19765;2;-17
octobre;Agriculteur;23615;4;-33
novembre;Agriculteur;23694;0;95
decembre;Agriculteur;23690;3;147
janvier;Agriculteur;23503;4;116
fevrier;Agriculteur;22215;2;63
mars;Agriculteur;18678;2;24
avril;Agriculteur;21841;3;195
mai;Agriculteur;18940;4;200
juin;Agriculteur;18560;3;91
juillet;Agriculteur;23170;2;253
aout;Agriculteur;20019;2;249
septembre;Agriculteur;18597;3;133
octobre;Agriculteur;19667;3;269
novembre;Agriculteur;21609;4;-97
decembre;Agriculteur;19901;1;282
janvier;Agriculteur;21765;1;65
fevrier;Agriculteur;23854;1;-69
mars;Agriculteur;19131;2;-100
avril;Agriculteur;21958;1;10
mai;Agriculteur;18932;1;216
juin;Agriculteur;21855;3;192
juillet;Agriculteur;20919;1;-16
aout;Agriculteur;20230;2;57
septembre;Agriculteur;19322;1;223
octobre;Agriculteur;22261;0;206
novembre;Agriculteur;21715;0;185
decembre;Agriculteur;23708;4;77
janvier;Agriculteur;19412;4;108
fevrier;Agriculteur;18220;4;272
mars;Agriculteur;22600;1;142
avril;Agriculteur;20867;4;-19
mai;Agriculteur;23466;4;-33
juin;Agriculteur;23487;4;-86
juillet;Agriculteur;18259;1;105
aout;Agriculteur;22505;2;75
septembre;Agriculteur;19700;1;176
octobre;Agriculteur;19849;0;-82
novembre;Agriculteur;18957;3;210
decembre;Agriculteur;21450;0;155
janvier;Agriculteur;20627;3;143
fevrier;Agriculteur;22520;4;-51
mars;Agriculteur;22257;4;136
avril;Agriculteur;22280;3;255
mai;Agriculteur;19088;1;11
juin;Agriculteur;20749;1;-76
juillet;Agriculteur;22628;4;280
aout;Agriculteur;21189;0;-30
septembre;Agriculteur;18655;3;213
octobre;Agriculteur;23545;0;228
novembre;Agriculteur;18600;3;105
decembre;Agriculteur;20927;3;280
janvier;Agriculteur;18138;0;184
fevrier;Agriculteur;19841;3;14
mars;Agriculteur;23172;3;164
avril;Agriculteur;18280;0;-16
mai;Agriculteur;22899;1;145
juin;Agriculteur;23261;1;125
juillet;Agriculteur;19787;4;188
aout;Agriculteur;19443;1;-36
septembre;Agriculteur;20986;2;196
octobre;Agriculteur;18806;3;244
novembre;Agriculteur;19989;3;262
decembre;Agriculteur;19538;4;11
janvier;Agriculteur;21260;0;-51
fevrier;Agriculteur;23921;4;81
mars;Agriculteur;20555;3;215
avril;Agriculteur;22345;2;184
mai;Agriculteur;19232;0;153
juin;Agriculteur;23315;2;85
juillet;Agriculteur;18202;3;-62
aout;Agriculteur;22131;2;252
septembre;Agriculteur;18615;2;246
octobre;Agriculteur;19955;2;120
novembre;Agriculteur;23593;3;89
decembre;Agriculteur;21695;3;66
janvier;Agriculteur;23953;2;27
fevrier;Agriculteur;18793;2;-76
mars;Agriculteur;18975;2;263
avril;Agriculteur;18899;4;-11
mai;Agriculteur;19211;0;263
juin;Agriculteur;18142;2;33
juillet;Agriculteur;19450;3;257
aout;Agriculteur;19554;3;165
septembre;Agriculteur;18477;3;109
octobre;Agriculteur;21941;3;97
novembre;Agriculteur;19052;3;198
decembre;Agriculteur;20048;4;242
janvier;Agriculteur;20195;1;298
fevrier;Agriculteur;22407;0;20
mars;Agriculteur;22720;1;-20
avril;Agriculteur;21866;4;215
mai;Agriculteur;21848;0;269
juin;Agriculteur;21577;4;-47
juillet;Agriculteur;23851;4;257
aout;Agriculteur;19618;2;-88
septembre;Agriculteur;20962;1;201
octobre;Agriculteur;21170;1;45
novembre;Agriculteur;18002;3;182
decembre;Agriculteur;20323;2;67
janvier;Agriculteur;21049;1;94
fevrier;Agriculteur;23971;0;137
mars;Agriculteur;20061;2;132
avril;Agriculteur;21610;1;195
mai;Agriculteur;20098;2;188
juin;Agriculteur;19478;0;-48
juillet;Agriculteur;18341;2;94
aout;Agriculteur;21838;1;152
septembre;Agriculteur;23915;0;288
octobre;Agriculteur;18354;0;-15
novembre;Agriculteur;22080;0;144
decembre;Agriculteur;21301;0;-49
janvier;Agriculteur;20230;1;-9
fevrier;Agriculteur;19759;2;253
mars;Agriculteur;23769;3;73
avril;Agriculteur;19565;1;-20
mai;Agriculteur;22392;1;-32
juin;Agriculteur;21856;1;-15
juillet;Agriculteur;20980;0;-7
aout;Agriculteur;19450;0;-1
septembre;Agriculteur;22812;1;93
octobre;Agriculteur;21302;3;288
novembre;Agriculteur;18262;1;223
decembre;Agriculteur;23407;4;-55
janvier;Agriculteur;19431;4;36
fevrier;Agriculteur;21171;4;51
mars;Agriculteur;20610;4;-18
avril;Agriculteur;19663;4;50
mai;Agriculteur;20906;2;46
juin;Agriculteur;20755;2;241
juillet;Agriculteur;23149;2;218
aout;Agriculteur;21036;2;258
septembre;Agriculteur;18341;4;72
octobre;Agriculteur;18905;4;36
novembre;Agriculteur;19690;2;183
decembre;Agriculteur;20354;2;287
janvier;Agriculteur;19571;3;-87
fevrier;Agriculteur;18714;0;209
mars;Agriculteur;20675;1;268
avril;Agriculteur;20877;1;198
mai;Agriculteur;18431;2;63
juin;Agriculteur;19194;3;46
juillet;Agriculteur;23257;0;-79
aout;Agriculteur;18141;4;-86
septembre;Agriculteur;20854;1;153
octobre;Agriculteur;22564;4;-61
novembre;Agriculteur;19790;1;83
decembre;Agriculteur;20173;3;-15
janvier;Agriculteur;19546;2;-13
fevrier;Agriculteur;19582;2;25
mars;Agriculteur;19061;4;-36
avril;Agriculteur;23018;3;208
mai;Agriculteur;22639;2;98
juin;Agriculteur;22285;1;18
juillet;Agriculteur;21028;0;51
aout;Agriculteur;18373;4;133
septembre;Agriculteur;18970;3;192
octobre;Agriculteur;18202;3;97
novembre;Agriculteur;23392;2;38
decembre;Agriculteur;20454;1;202
janvier;Agriculteur;20045;3;155
fevrier;Agriculteur;22178;3;7
mars;Agriculteur;18463;2;22
avril;Agriculteur;20071;1;284
mai;Agriculteur;23112;3;-1
juin;Agriculteur;22227;4;145
juillet;Agriculteur;18976;2;266
aout;Agriculteur;21738;2;151
septembre;Agriculteur;21507;3;111
octobre;Agriculteur;20616;2;-69
novembre;Agriculteur;23357;1;97
decembre;Agriculteur;21399;4;259
janvier;Agriculteur;21537;1;182
fevrier;Agriculteur;23944;0;-32
mars;Agriculteur;21403;1;256
avril;Agriculteur;19601;1;294
mai;Agriculteur;19172;0;-60
juin;Agriculteur;19635;1;127
juillet;Agriculteur;19778;4;169
aout;Agriculteur;18741;0;144
septembre;Agriculteur;19010;2;38
octobre;Agriculteur;21757;2;292
novembre;Agriculteur;22608;2;-93
decembre;Agriculteur;23983;4;127
janvier;Agriculteur;23729;1;226
fevrier;Agriculteur;18291;1;-41
mars;Agriculteur;20364;2;222
avril;Agriculteur;19412;1;33
mai;Agriculteur;18448;1;-40
juin;Agriculteur;21428;2;-26
juillet;Agriculteur;18258;0;2
aout;Agriculteur;19702;2;79
septembre;Agriculteur;23639;4;23
octobre;Agriculteur;22555;2;-50
novembre;Agriculteur;20550;0;-65
decembre;Agriculteur;19667;4;282
janvier;Agriculteur;22838;2;155
fevrier;Agriculteur;22877;3;84
mars;Agriculteur;21456;2;216
avril;Agriculteur;23651;1;-100
mai;Agriculteur;21661;0;-86
juin;Agriculteur;18605;2;260
juillet;Agriculteur;23121;3;199
aout;Agriculteur;21685;0;70
decembre;ouvriers;20792;3;-70
decembre;ouvriers;24386;4;-86
decembre;ouvriers;23779;4;30
decembre;ouvriers;26578;0;-29
decembre;ouvriers;21348;2;12
decembre;ouvriers;26934;4;-85
decembre;ouvriers;23252;0;-33
decembre;ouvriers;22767;2;-71
decembre;ouvriers;20715;0;-54
decembre;ouvriers;22453;2;18
decembre;ouvriers;26329;0;-2
decembre;ouvriers;21432;1;16
decembre;ouvriers;22975;1;-87
decembre;ouvriers;20893;1;37
decembre;ouvriers;25458;4;-13
decembre;ouvriers;23341;1;-95
decembre;ouvriers;24955;4;-66
decembre;ouvriers;22141;2;-99
decembre;ouvriers;23342;1;-98
decembre;ouvriers;21033;1;-20
decembre;ouvriers;22192;2;-22
decembre;ouvriers;23908;1;-61
decembre;ouvriers;22177;0;-85
decembre;ouvriers;21988;4;-47
decembre;ouvriers;24160;1;-13
decembre;ouvriers;21912;2;-26
decembre;ouvriers;20739;2;-17
decembre;ouvriers;26129;3;-77
decembre;ouvriers;20208;0;24
decembre;ouvriers;19246;4;-83
decembre;ouvriers;21765;2;9
decembre;ouvriers;20221;4;2
decembre;ouvriers;19070;2;3
decembre;ouvriers;24155;4;27
decembre;ouvriers;26665;1;16
decembre;ouvriers;24678;0;-52
decembre;ouvriers;22722;2;-94
decembre;ouvriers;25870;3;-79
decembre;ouvriers;21683;2;-92
decembre;ouvriers;20083;0;1
decembre;ouvriers;19587;0;40
decembre;ouvriers;19573;0;-74
decembre;ouvriers;19916;3;25
decembre;ouvriers;25141;1;-94
decembre;ouvriers;19396;2;-96
decembre;ouvriers;24880;1;-7
decembre;ouvriers;19508;1;-84
decembre;ouvriers;19232;2;19
decembre;ouvriers;20728;4;-2
decembre;ouvriers;26569;4;25
decembre;ouvriers;21387;1;-75
decembre;ouvriers;22474;1;-5
decembre;ouvriers;25199;1;-81
decembre;ouvriers;23263;2;-77
decembre;ouvriers;25392;4;-40
decembre;ouvriers;22533;3;33
decembre;ouvriers;24515;4;48
decembre;ouvriers;23518;0;-4
decembre;ouvriers;26143;3;20
decembre;ouvriers;26788;2;-94
decembre;ouvriers;24446;1;-11
decembre;ouvriers;22454;3;24
decembre;ouvriers;22010;3;-25
decembre;ouvriers;23193;2;2
decembre;ouvriers;24120;3;-67
decembre;ouvriers;23713;3;35
decembre;ouvriers;24501;4;-41
decembre;ouvriers;20149;4;-7
decembre;ouvriers;26110;2;-66
decembre;ouvriers;22167;3;27
decembre;ouvriers;19291;0;27
decembre;ouvriers;24269;1;44
decembre;ouvriers;25657;2;-91
decembre;ouvriers;21521;2;-81
decembre;ouvriers;22640;3;23
decembre;ouvriers;26240;0;1
decembre;ouvriers;22998;3;-49
decembre;ouvriers;24986;1;-54
decembre;ouvriers;25702;0;-28
decembre;ouvriers;21848;0;-58
decembre;ouvriers;25675;0;-53
decembre;ouvriers;25583;3;-34
decembre;ouvriers;22367;3;22
decembre;ouvriers;21635;1;-34
decembre;ouvriers;21476;2;35
decembre;ouvriers;23868;4;-41
decembre;ouvriers;22976;2;-66
decembre;ouvriers;20269;3;42
decembre;ouvriers;21385;2;-8
decembre;ouvriers;23359;1;50
decembre;ouvriers;23973;3;50
decembre;ouvriers;19729;2;24
decembre;ouvriers;24757;3;-4
decembre;ouvriers;23306;1;-50
decembre;ouvriers;23792;4;21
decembre;ouvriers;24862;3;20
decembre;ouvriers;23203;3;-50
decembre;ouvriers;23762;3;-66
decembre;ouvriers;23733;4;-24
decembre;ouvriers;23630;2;-89
decembre;ouvriers;20050;2;-85
decembre;ouvriers;22106;2;14
decembre;ouvriers;26010;0;-11
decembre;ouvriers;19026;0;6
decembre;ouvriers;21854;2;41
decembre;ouvriers;25794;3;-41
decembre;ouvriers;20912;4;-2
decembre;ouvriers;22699;0;-49
decembre;ouvriers;22661;4;-73
decembre;ouvriers;21680;3;-54
decembre;ouvriers;23305;4;21
decembre;ouvriers;19967;4;29
decembre;ouvriers;24776;4;-85
decembre;ouvriers;20393;4;-35
decembre;ouvriers;22692;4;-23
decembre;ouvriers;22691;2;-99
decembre;ouvriers;19175;4;-8
decembre;ouvriers;20026;0;-31
decembre;ouvriers;22993;0;-98
decembre;ouvriers;19036;3;-24
decembre;ouvriers;25212;0;-88
decembre;ouvriers;25192;1;7
decembre;ouvriers;26467;1;32
decembre;ouvriers;21937;2;-44
decembre;ouvriers;21741;1;-95
decembre;ouvriers;25170;2;-92
decembre;ouvriers;20468;1;-39
decembre;ouvriers;24886;0;-41
decembre;ouvriers;24936;2;5
decembre;ouvriers;19271;2;6
decembre;ouvriers;25559;4;-18
decembre;ouvriers;26008;4;-9
decembre;ouvriers;26601;2;-88
decembre;ouvriers;20057;3;-46
decembre;ouvriers;20230;2;-36
decembre;ouvriers;26523;1;-38
decembre;ouvriers;22962;1;-29
decembre;ouvriers;20855;3;-77
decembre;ouvriers;24928;2;9
decembre;ouvriers;23322;3;-45
decembre;ouvriers;22562;4;8
decembre;ouvriers;23778;4;-97
decembre;ouvriers;20760;4;-3
decembre;ouvriers;23856;2;9
decembre;ouvriers;25833;3;-46
decembre;ouvriers;25165;2;-55
decembre;ouvriers;20695;1;34
decembre;ouvriers;26290;4;-80
decembre;ouvriers;25716;0;49
decembre;ouvriers;25041;2;37
decembre;ouvriers;20329;3;-3
decembre;ouvriers;22797;3;-94
decembre;ouvriers;22307;0;-62
decembre;ouvriers;21950;2;-51
decembre;ouvriers;26795;1;-54
decembre;ouvriers;25840;2;17
decembre;ouvriers;23493;0;-22
decembre;ouvriers;19155;3;-19
decembre;ouvriers;21446;3;28
decembre;ouvriers;23430;4;-87
decembre;ouvriers;24286;2;29
decembre;ouvriers;24369;2;2
decembre;ouvriers;20303;1;-100
decembre;ouvriers;27000;0;29
decembre;ouvriers;19469;1;-24
decembre;ouvriers;24350;1;-54
decembre;ouvriers;21393;2;-11
decembre;ouvriers;21760;0;29
decembre;ouvriers;25623;3;8
decembre;ouvriers;24266;3;35
decembre;ouvriers;25008;2;21
decembre;ouvriers;26052;3;-23
decembre;ouvriers;21145;2;45
decembre;ouvriers;26534;3;39
decembre;ouvriers;21650;3;-4
decembre;ouvriers;24516;3;-66
decembre;ouvriers;22788;3;-61
decembre;ouvriers;26600;4;26
decembre;ouvriers;24510;3;50
decembre;ouvriers;19958;4;-38
decembre;ouvriers;20580;3;38
decembre;ouvriers;19657;1;11
decembre;ouvriers;19604;2;49
decembre;ouvriers;21692;3;-11
decembre;ouvriers;21928;3;-72
decembre;ouvriers;23444;0;5
decembre;ouvriers;20959;4;-1
decembre;ouvriers;25918;3;-70
decembre;ouvriers;19986;2;-67
decembre;ouvriers;22252;4;-20
decembre;ouvriers;19624;3;-40
decembre;ouvriers;21497;2;47
decembre;ouvriers;25200;3;-79
decembre;ouvriers;22463;2;31
decembre;ouvriers;25368;0;49
decembre;ouvriers;22689;0;-20
decembre;ouvriers;23928;4;20
decembre;ouvriers;26031;0;40
decembre;ouvriers;23741;2;14
decembre;ouvriers;24452;1;2
decembre;ouvriers;25844;4;-63
decembre;ouvriers;22986;4;23
decembre;ouvriers;23811;4;32
decembre;ouvriers;19945;1;23
decembre;ouvriers;22068;1;-42
decembre;ouvriers;26365;4;-74
decembre;ouvriers;22020;1;-73
decembre;ouvriers;20130;4;37
decembre;ouvriers;22481;1;-79
decembre;ouvriers;20177;3;-30
decembre;ouvriers;23893;3;-91
decembre;ouvriers;23825;0;26
decembre;ouvriers;25064;2;-62
decembre;ouvriers;23039;2;-2
decembre;ouvriers;26916;1;10
decembre;ouvriers;22987;4;20
decembre;ouvriers;20530;0;-59
decembre;ouvriers;25866;4;41
decembre;ouvriers;26123;1;-93
decembre;ouvriers;20169;0;-94
decembre;ouvriers;25606;0;36
decembre;ouvriers;26954;2;15
decembre;ouvriers;20194;4;-15
decembre;ouvriers;22250;4;-24
decembre;ouvriers;26906;4;-100
decembre;ouvriers;19121;0;37
decembre;ouvriers;22670;0;48
decembre;ouvriers;25341;2;23
decembre;ouvriers;19116;2;-91
decembre;ouvriers;25825;2;18
decembre;ouvriers;21155;3;-68
decembre;ouvriers;24525;0;14
decembre;ouvriers;20158;0;-39
decembre;ouvriers;19148;4;31
decembre;ouvriers;19277;0;35
decembre;ouvriers;23908;1;0
decembre;ouvriers;26576;2;-34
decembre;ouvriers;25511;1;-63
decembre;ouvriers;20882;4;-44
decembre;ouvriers;26819;3;-95
decembre;ouvriers;21953;2;-65
decembre;ouvriers;24059;2;-59
decembre;ouvriers;26201;2;-42
decembre;ouvriers;26624;2;-10
decembre;ouvriers;26680;0;-63
decembre;ouvriers;26978;1;-40
decembre;ouvriers;20588;0;-28
decembre;ouvriers;21232;4;30
decembre;ouvriers;20288;0;-75
decembre;ouvriers;23977;4;-73
decembre;ouvriers;22870;0;16
decembre;ouvriers;20479;2;-35
decembre;ouvriers;22863;1;46
decembre;ouvriers;24984;2;32
decembre;ouvriers;24771;3;47
decembre;ouvriers;25455;0;-70
decembre;ouvriers;19226;4;23
decembre;ouvriers;21924;2;12
decembre;ouvriers;20007;0;27
decembre;ouvriers;26436;4;1
decembre;ouvriers;25209;4;-84
decembre;ouvriers;23102;0;-72
decembre;ouvriers;20576;0;40
decembre;ouvriers;21410;3;10
decembre;ouvriers;19292;1;-62
decembre;ouvriers;20819;1;-20
juillet;ouvriers;25457;2;-56
juillet;ouvriers;21276;4;-23
juillet;ouvriers;22450;2;6
juillet;ouvriers;25627;3;20
juillet;ouvriers;20219;2;-75
juillet;ouvriers;25288;3;32
